sigma_rate,exp_b,beta
1.1203986,1.6863445,2.3933651
1.1665564,1.6804726,2.3327515
1.2190921,1.6763159,2.3635721
1.271939,1.6837217,2.3198822
1.2275761,1.6230114,2.3339896
1.1813153,1.6533616,2.2435555
1.2058895,1.6316906,2.3534973
1.1945393,1.7741586,2.3270059
0.9759055,1.6107372,2.374883
1.2450356,1.4818805,2.2224085
1.226812,1.6554252,2.3594112
1.3105321,1.4447874,2.3078454
1.1684237,1.8030432,2.292226
1.1319573,1.6071675,2.2436612
1.0769385,1.7224196,2.3665886
1.0941344,1.6695831,2.3114307
1.0675681,1.7427474,2.5099506
1.1952659,1.7582898,2.2583742
1.119141,1.6403391,2.2346838
1.2275832,1.7215648,2.3851051
1.0909791,1.6219003,2.3004167
1.0020553,1.7911192,2.3868067
1.0505557,1.9306765,2.351601
1.11358,1.5921576,2.276593
1.2134025,1.6137732,2.348712
1.1013372,1.9075054,2.3159795
1.3466601,1.7392448,2.1992207
1.1568432,1.4765294,2.4247856
1.1290032,1.7694079,2.2905962
1.0557392,1.7608796,2.4208312
1.1622837,1.5972263,2.40994
1.1110004,1.8226455,2.2983665
1.1947625,1.7808976,2.4670367
1.0570949,1.8169075,2.4285736
1.2583485,1.6761566,2.234763
1.1619953,1.876225,2.398765
1.0810392,1.6207874,2.3906178
1.10684,1.7181602,2.3941667
1.01957,1.723776,2.434959
1.0928568,1.6144085,2.3856742
1.1814194,1.7258046,2.3902838
1.1534201,1.6487323,2.4294121
1.1430428,1.7602895,2.3565757
1.1653448,1.7761654,2.2582448
1.231761,1.6419969,2.2958217
1.1531222,1.7813278,2.3574727
1.1801751,1.6810218,2.3030143
1.2570711,1.6099994,2.214124
1.1609257,1.6332672,2.2836423
1.1887344,1.7941586,2.407035
1.1371952,1.7690847,2.2601788
1.1094539,1.7468729,2.4184153
1.1554605,1.7635307,2.3221633
1.1143808,1.7916821,2.318056
1.2067658,1.5995021,2.2880917
1.1442227,1.6794366,2.3117626
1.1951096,1.5467317,2.3927166
1.1881522,1.5778033,2.2853117
1.2795295,1.5808012,2.2985291
1.1405655,1.5568029,2.3155975
1.0986023,1.6256697,2.425381
1.1912537,1.6982785,2.3784292
1.1730659,1.7031108,2.3467607
1.2191204,1.5943463,2.3606336
1.1688722,1.7527488,2.3928568
1.0929097,1.6448839,2.386332
1.2251053,1.7482281,2.3149998
1.0901102,1.8078556,2.4410667
1.1393917,1.7870675,2.303653
1.1288329,1.6247087,2.3385968
1.0770928,1.5004601,2.3928733
1.1925622,1.7353051,2.4052165
1.0841805,1.637063,2.2893946
1.179719,1.5209249,2.357666
1.1582814,1.7003024,2.402583
1.103594,1.8275034,2.3918042
1.1572875,1.6518693,2.3595538
1.0363988,1.8117573,2.4232442
1.2231284,1.5223192,2.2610667
1.1720994,1.7178062,2.356908
1.2274367,1.5139891,2.397723
1.0839164,1.6426064,2.437002
1.1069839,1.6461167,2.2815874
1.1707546,1.6574807,2.3368027
1.1590202,1.637632,2.3647215
1.0180653,1.7414321,2.3492904
1.1464778,1.6539117,2.3773627
1.0687212,1.7070962,2.4445853
1.2182785,1.7276256,2.2260914
1.151691,1.6210791,2.3477523
1.0679258,1.6055942,2.262028
1.2416339,1.5441638,2.2582679
1.1752151,1.5480889,2.4567914
1.1457815,1.7541634,2.3999712
1.1105016,1.7336226,2.3336802
1.1130761,1.6523231,2.3411536
1.2094878,1.4295418,2.3882134
1.2356895,1.5641818,2.3207529
1.2237504,1.6319908,2.3540113
1.1716012,1.5395527,2.3979177
1.1311245,1.7358208,2.347774
1.2147456,1.6297506,2.319734
1.1428345,1.7239504,2.2655876
1.2405832,1.7068231,2.3456929
1.1771702,1.8541193,2.2384942
