sigma_rate,exp_a,exp_b,beta
0.2831077,-1.0284282,0.95896304,2.3999863
0.31677622,-1.0671537,0.9074284,2.6227856
0.40251008,-0.9415099,1.0889509,2.5153582
0.3915331,-0.9917038,1.1114902,2.4805589
0.30329898,-1.0307778,0.88389444,2.6371012
0.29483905,-0.92355037,0.94785184,2.4273357
0.3071284,-0.96926284,0.5859189,2.4714787
0.35527542,-1.0167451,0.81497943,2.6050384
0.2933468,-0.89794123,0.8566364,2.7142
0.24267936,-1.1575073,0.8052314,2.479684
0.28354955,-0.96452177,1.2203293,2.7035031
0.30906975,-0.99558777,0.9175685,2.6261578
0.34915859,-1.0708911,0.803834,2.6713178
0.31014946,-1.1626443,0.8528921,2.5516999
0.29216024,-0.9764918,0.9861127,2.4765568
0.2978342,-1.0310584,1.0020906,2.5368197
0.34277394,-1.1075342,0.7701987,2.4107025
0.24801232,-1.0894853,0.7457412,2.7034483
0.32946602,-0.8888466,0.85012347,2.522613
0.31967917,-1.0582874,0.8540334,2.4677043
0.25904083,-1.0898843,0.9440645,2.4609828
0.30636483,-1.2286433,0.91750646,2.5392118
0.36005017,-1.133725,0.7562345,2.6143017
0.31083575,-0.9752419,0.8208741,2.5212116
0.3835139,-1.0153613,0.83230484,2.5205085
0.32592118,-1.0898178,0.7047069,2.5114694
0.4387412,-1.0245072,1.0476279,2.487917
0.407166,-1.0405878,0.61607385,2.6295304
0.37518293,-0.97347134,0.8489153,2.4922106
0.3126924,-0.99983937,0.7130074,2.5421247
0.38949743,-1.0175874,0.878159,2.4387724
0.32685438,-0.9609797,0.6646001,2.3218503
0.35934693,-0.9467454,0.9501536,2.6151521
0.31805533,-1.0657215,0.8909737,2.500736
0.37838513,-1.0516595,0.8048106,2.6379983
0.37268582,-1.0732664,1.0405904,2.5477555
0.32259873,-0.9682159,0.9307734,2.6150796
0.38041225,-1.111949,0.9716505,2.4224768
0.23365533,-0.993996,1.1019467,2.3705127
0.4026514,-1.0758349,0.86212057,2.329158
0.2696373,-1.1347425,1.0187571,2.5271778
0.3780807,-1.0365456,0.7735996,2.5396864
0.34001184,-1.044978,1.0780158,2.4286923
0.33026195,-0.9874347,0.9223231,2.447671
0.33149475,-1.0069047,0.7533472,2.5307739
0.3353946,-1.0766593,0.92020506,2.3460276
0.3633796,-1.2291062,0.8258205,2.5455396
0.27213162,-1.0088751,0.84046984,2.5986946
0.2735669,-1.0191336,0.9587062,2.3820326
0.299711,-1.1090313,0.89878494,2.4394913
0.34034422,-0.99846673,0.816832,2.5807796
0.3398474,-0.94234854,0.95295346,2.4806988
0.3168757,-0.99364114,0.6940311,2.681996
0.30056724,-1.0848575,0.7616326,2.5752738
0.31458598,-0.9715241,0.7251741,2.5338037
0.3054851,-0.976454,1.0149894,2.5925205
0.31536105,-1.0396177,0.8579206,2.638435
0.36429706,-0.982124,0.59686804,2.3991663
0.27504212,-0.93665296,0.89719284,2.7104132
0.3491212,-1.0636028,0.7980501,2.4388492
0.31125006,-1.104748,0.7295674,2.3868062
0.26155704,-1.1391784,0.84145164,2.523137
0.31779623,-1.0757354,0.9550576,2.4744732
0.30251673,-0.98740447,1.0661734,2.5525753
0.307489,-0.9991574,0.74317604,2.4828773
0.36035788,-1.0152684,0.8891363,2.4999793
0.33564675,-0.9962268,0.8373259,2.496428
0.41323447,-1.1055126,0.6979285,2.6257586
0.356089,-1.0117702,0.90210086,2.335355
0.3166948,-1.0296905,0.8237092,2.5409741
0.22583774,-1.1708947,0.61778027,2.5032136
0.32623103,-1.0465485,0.87364817,2.5652733
0.28548384,-1.106116,0.7251378,2.3674915
0.3143034,-1.037279,0.86930484,2.6639965
0.35362422,-0.9961593,0.6487625,2.4550612
0.30651912,-0.9715347,1.1493497,2.5597239
0.3320016,-1.025574,0.7096191,2.5901513
0.3374937,-0.92909366,0.8367076,2.5310369
0.3290624,-0.9676731,0.9500218,2.5512264
0.36300597,-0.94574744,0.8448856,2.4800568
0.29666463,-1.1106269,0.8482205,2.6267247
0.29645464,-1.112987,0.7292915,2.4563556
0.35879692,-1.1467843,0.6799803,2.5157263
0.28317654,-0.9805346,0.78975093,2.409162
0.2925702,-1.1043859,0.741771,2.4965281
0.28071094,-0.9595741,0.86919093,2.4870522
0.2810498,-1.0711768,0.8087207,2.4717498
0.28484333,-1.0187631,0.9700846,2.412827
0.3020784,-1.0517951,0.72427595,2.598688
0.294695,-1.0952942,1.0274358,2.4069035
0.36944062,-0.9335071,0.7130417,2.6912265
0.34558553,-0.96053666,1.0609573,2.4658782
0.31693134,-1.0988818,0.86625886,2.5659742
0.35546157,-1.0130211,0.95753443,2.558574
0.31009856,-0.9844251,1.0949956,2.552645
0.36211288,-1.0529809,0.6846231,2.64886
0.30086207,-1.1353679,0.9922342,2.4557204
0.33633533,-0.9845565,0.8557731,2.4779003
0.30488324,-1.16585,0.7335998,2.4613965
0.3700343,-0.94750196,0.86615634,2.4232767
0.290079,-1.0131577,0.64038485,2.603456
0.34203818,-1.0559121,0.9523849,2.3704593
0.25327384,-0.9649103,0.81496644,2.669672
0.30795917,-1.0578014,0.95650077,2.6197622
0.3455004,-0.94198716,0.77985954,2.575161
0.3362385,-1.0094852,0.8006558,2.6248393
0.31454238,-1.0895276,0.71857274,2.5042074
0.29636925,-1.0394124,0.7065858,2.5415564
0.3129744,-1.1675667,0.97104114,2.3875744
0.33007607,-1.0306293,0.8547054,2.61003
0.32132024,-1.0974551,0.7911745,2.6218517
0.30769607,-1.1471838,0.6779977,2.461311
