sigma_rate,exp_a,exp_b,beta
1.0695798,0.44574487,1.6715409,2.4699621
1.0968964,0.3680303,1.6981466,2.4786801
1.1168396,0.38268086,1.675392,2.3855
1.0808227,0.4009706,1.6362683,2.4043505
1.1008703,0.45524767,1.7199904,2.4752486
1.1341146,0.3621021,1.7689701,2.4401536
1.0757995,0.41385198,1.592182,2.4568167
1.0571676,0.3814537,1.6253593,2.3884661
1.1194308,0.3791787,1.7119554,2.3765225
1.0864464,0.32768792,1.675215,2.3750353
1.0941523,0.3649869,1.7144575,2.3635957
1.143714,0.38885772,1.7191054,2.393445
1.0766966,0.44187084,1.6297065,2.4222245
1.1090779,0.4863327,1.4450532,2.4244754
1.1240418,0.3484225,1.6342685,2.3329346
1.1344194,0.38238302,1.6987528,2.487259
1.1393019,0.362503,1.6909652,2.404228
1.0916247,0.35240564,1.6287267,2.314918
1.0731269,0.32058606,1.5594561,2.3824167
1.1307235,0.33420363,1.5959299,2.4640186
1.1174837,0.3666486,1.5233182,2.339714
1.094407,0.31419706,1.7166167,2.3819664
1.108922,0.28270158,1.7416154,2.3162084
1.1196377,0.44657436,1.628872,2.4109051
1.0887878,0.40727374,1.7260443,2.5136945
1.073981,0.33769098,1.6826874,2.3717325
1.096719,0.39110798,1.6700356,2.4292378
1.0864568,0.33055097,1.7270501,2.3979187
1.0812888,0.38297892,1.6153369,2.382549
1.1162069,0.40908986,1.588824,2.3431346
1.1470423,0.37380016,1.762753,2.399709
1.113215,0.3561045,1.6333619,2.3772566
1.1362725,0.4041491,1.6689291,2.4830823
1.1353321,0.38439056,1.716697,2.3696475
1.0535455,0.3555517,1.7759397,2.4371707
1.1095685,0.29566923,1.7718797,2.3926735
1.1572076,0.34828734,1.7183284,2.3871758
1.1222993,0.39074877,1.6267102,2.4340396
1.1027646,0.3934355,1.5475702,2.4065862
1.1056943,0.38752905,1.6905851,2.4456265
1.1166737,0.3767263,1.6371611,2.3447006
1.0908215,0.33702248,1.6782547,2.3175874
1.1111978,0.40908813,1.6009929,2.358834
1.1379766,0.36918518,1.690188,2.4251838
1.0959653,0.41095293,1.6899958,2.4615564
1.155335,0.43235508,1.5520266,2.3988178
1.1035631,0.51019233,1.6098027,2.497585
1.1207007,0.38668036,1.6246483,2.402551
1.1076858,0.3248976,1.6228874,2.3540797
1.0839576,0.35058716,1.7294712,2.3005743
1.1196142,0.32717544,1.6180199,2.4032676
1.0595646,0.36138952,1.6838304,2.4040787
1.0614431,0.41228962,1.5578911,2.3764732
1.0586239,0.26434493,1.7109301,2.3660803
1.1001377,0.36359766,1.767891,2.4893086
1.0989116,0.3277111,1.6976856,2.382494
1.0983104,0.30710822,1.6949198,2.360799
1.054534,0.39559528,1.6329952,2.3826053
1.0503373,0.4062935,1.6771872,2.4260151
1.1110752,0.3787135,1.6343106,2.4341156
1.099869,0.42236638,1.7702899,2.4437938
1.1620033,0.42096663,1.5769962,2.4381137
1.0976545,0.35327938,1.6711943,2.4155905
1.0878803,0.27660608,1.6194868,2.302088
1.0735086,0.34184945,1.6727611,2.3837683
1.1042316,0.36507684,1.6588839,2.3597803
1.1227347,0.4060807,1.6880698,2.4652066
